timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784790161768,771,Selenium,200,OK,HTML Dashboards Using CommandLine 5-1,text,true,,266651,128,4,20,https://www.selenium.dev/downloads/,494,0,397
1784790161963,726,Selenium,200,OK,HTML Dashboards Using CommandLine 5-2,text,true,,266651,128,4,20,https://www.selenium.dev/downloads/,352,0,225
1784790161959,805,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-2,text,true,,49094,132,5,25,https://automationexercise.com/products,769,0,332
1784790161768,1538,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-1,text,true,,49100,132,7,35,https://automationexercise.com/products,1512,0,449
1784790162214,1206,Selenium,200,OK,HTML Dashboards Using CommandLine 5-3,text,true,,266651,128,7,35,https://www.selenium.dev/downloads/,596,0,156
1784790161768,1742,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-1,text,true,,122018,148,8,40,https://practicetestautomation.com/practice-test-login/,1305,0,588
1784790161956,1807,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-2,text,true,,122023,148,9,45,https://practicetestautomation.com/practice-test-login/,1272,0,481
1784790161768,2014,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-1,text,true,,368557,153,9,45,https://www.hollandandbarrett.com/shop/vitamins-supplements/,1282,0,399
1784790162211,1587,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-3,text,true,,49092,132,9,45,https://automationexercise.com/products,1570,0,228
1784790161946,1854,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-2,text,true,,369479,153,9,45,https://www.hollandandbarrett.com/shop/vitamins-supplements/,1086,0,220
1784790162195,1665,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-3,text,true,,370089,153,9,45,https://www.hollandandbarrett.com/shop/vitamins-supplements/,1103,0,107
1784790162541,1450,Selenium,200,OK,HTML Dashboards Using CommandLine 5-1,text,true,,99372,132,10,50,https://www.selenium.dev/documentation/,1429,0,0
1784790162690,1471,Selenium,200,OK,HTML Dashboards Using CommandLine 5-2,text,true,,99372,132,10,50,https://www.selenium.dev/documentation/,1387,0,0
1784790162765,1676,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-2,text,true,,8427,133,11,55,https://automationexercise.com/view_cart,1664,0,0
1784790163307,2301,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-1,text,true,,8421,133,16,80,https://automationexercise.com/view_cart,2300,0,0
1784790163420,2229,Selenium,200,OK,HTML Dashboards Using CommandLine 5-3,text,true,,99372,132,16,80,https://www.selenium.dev/documentation/,2146,0,0
1784790162207,3771,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-3,text,true,,122032,148,18,90,https://practicetestautomation.com/practice-test-login/,3136,0,726
1784790163510,2552,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-1,text,true,,129158,153,18,90,https://practicetestautomation.com/practice-test-exceptions/,2375,0,0
1784790163782,3090,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-1,text,true,,370001,143,20,100,https://www.hollandandbarrett.com/shop/food-drink/,2861,0,0
1784790163798,3431,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-3,text,true,,8429,133,20,100,https://automationexercise.com/view_cart,3431,0,0
1784790163763,3607,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-2,text,true,,129158,153,20,100,https://practicetestautomation.com/practice-test-exceptions/,3254,0,0
1784790163992,3443,Selenium,200,OK,HTML Dashboards Using CommandLine 5-1,text,true,,24186,127,20,100,https://www.selenium.dev/projects/,3443,0,0
1784790162464,5284,Selenium,200,OK,HTML Dashboards Using CommandLine 5-4,text,true,,266651,128,20,100,https://www.selenium.dev/downloads/,4916,0,1501
